"year","ctry","variable","pubdate","value"
"2021",122,"LUR",2021-11-11,5
"2022",122,"LUR",2021-11-11,4.6
"2023",122,"LUR",2021-11-11,4.5
"2021",124,"LUR",2021-11-11,6.2
"2022",124,"LUR",2021-11-11,6.3
"2023",124,"LUR",2021-11-11,5.8
"2021",423,"LUR",2021-11-11,7.5
"2022",423,"LUR",2021-11-11,7.1
"2023",423,"LUR",2021-11-11,6.6
"2021",939,"LUR",2021-11-11,6.8
"2022",939,"LUR",2021-11-11,5.7
"2023",939,"LUR",2021-11-11,5.2
"2021",172,"LUR",2021-11-11,7.7
"2022",172,"LUR",2021-11-11,6.9
"2023",172,"LUR",2021-11-11,6.5
"2021",132,"LUR",2021-11-11,8
"2022",132,"LUR",2021-11-11,8
"2023",132,"LUR",2021-11-11,7.9
"2021",134,"LUR",2021-11-11,3.6
"2022",134,"LUR",2021-11-11,3.4
"2023",134,"LUR",2021-11-11,3.2
"2021",174,"LUR",2021-11-11,15.3
"2022",174,"LUR",2021-11-11,15
"2023",174,"LUR",2021-11-11,14.5
"2021",178,"LUR",2021-11-11,7.5
"2022",178,"LUR",2021-11-11,6.8
"2023",178,"LUR",2021-11-11,6.2
"2021",136,"LUR",2021-11-11,9.8
"2022",136,"LUR",2021-11-11,9.3
"2023",136,"LUR",2021-11-11,9.2
"2021",941,"LUR",2021-11-11,7.3
"2022",941,"LUR",2021-11-11,6.9
"2023",941,"LUR",2021-11-11,6.6
"2021",946,"LUR",2021-11-11,7.1
"2022",946,"LUR",2021-11-11,6.3
"2023",946,"LUR",2021-11-11,6
"2021",137,"LUR",2021-11-11,6.1
"2022",137,"LUR",2021-11-11,5.8
"2023",137,"LUR",2021-11-11,5.7
"2021",181,"LUR",2021-11-11,4
"2022",181,"LUR",2021-11-11,3.8
"2023",181,"LUR",2021-11-11,3.7
"2021",138,"LUR",2021-11-11,3.5
"2022",138,"LUR",2021-11-11,3.6
"2023",138,"LUR",2021-11-11,3.6
"2021",182,"LUR",2021-11-11,6.7
"2022",182,"LUR",2021-11-11,6.5
"2023",182,"LUR",2021-11-11,6.4
"2021",936,"LUR",2021-11-11,6.8
"2022",936,"LUR",2021-11-11,6.4
"2023",936,"LUR",2021-11-11,5.6
"2021",961,"LUR",2021-11-11,4.6
"2022",961,"LUR",2021-11-11,4.5
"2023",961,"LUR",2021-11-11,4.4
"2021",184,"LUR",2021-11-11,15.2
"2022",184,"LUR",2021-11-11,14.3
"2023",184,"LUR",2021-11-11,13.9
"2021",163,"LUR",2021-11-11,7.9
"2022",163,"LUR",2021-11-11,7.5
"2023",163,"LUR",2021-11-11,7.3
"2021",918,"LUR",2021-11-11,5.1
"2022",918,"LUR",2021-11-11,4.6
"2023",918,"LUR",2021-11-11,4.4
"2021",960,"LUR",2021-11-11,6.7
"2022",960,"LUR",2021-11-11,6.2
"2023",960,"LUR",2021-11-11,5.8
"2021",935,"LUR",2021-11-11,2.7
"2022",935,"LUR",2021-11-11,2.6
"2023",935,"LUR",2021-11-11,2.4
"2021",128,"LUR",2021-11-11,4.8
"2022",128,"LUR",2021-11-11,4.5
"2023",128,"LUR",2021-11-11,4.3
"2021",944,"LUR",2021-11-11,4.1
"2022",944,"LUR",2021-11-11,3.1
"2023",944,"LUR",2021-11-11,2.9
"2021",964,"LUR",2021-11-11,3.3
"2022",964,"LUR",2021-11-11,3.1
"2023",964,"LUR",2021-11-11,3
"2021",968,"LUR",2021-11-11,5
"2022",968,"LUR",2021-11-11,4.8
"2023",968,"LUR",2021-11-11,4.5
"2021",144,"LUR",2021-11-11,8.2
"2022",144,"LUR",2021-11-11,7.1
"2023",144,"LUR",2021-11-11,6.7
"2021",998,"LUR",2021-11-11,7.1
"2022",998,"LUR",2021-11-11,6.7
"2023",998,"LUR",2021-11-11,6.5
"2021",122,"NGDP_RPCH",2021-11-11,4.4
"2022",122,"NGDP_RPCH",2021-11-11,4.9
"2023",122,"NGDP_RPCH",2021-11-11,1.9
"2021",124,"NGDP_RPCH",2021-11-11,6
"2022",124,"NGDP_RPCH",2021-11-11,2.6
"2023",124,"NGDP_RPCH",2021-11-11,1.9
"2021",423,"NGDP_RPCH",2021-11-11,5.4
"2022",423,"NGDP_RPCH",2021-11-11,4.2
"2023",423,"NGDP_RPCH",2021-11-11,3.5
"2021",939,"NGDP_RPCH",2021-11-11,9
"2022",939,"NGDP_RPCH",2021-11-11,3.7
"2023",939,"NGDP_RPCH",2021-11-11,3.5
"2021",172,"NGDP_RPCH",2021-11-11,3.4
"2022",172,"NGDP_RPCH",2021-11-11,2.8
"2023",172,"NGDP_RPCH",2021-11-11,2
"2021",132,"NGDP_RPCH",2021-11-11,6.5
"2022",132,"NGDP_RPCH",2021-11-11,3.8
"2023",132,"NGDP_RPCH",2021-11-11,2.3
"2021",134,"NGDP_RPCH",2021-11-11,2.7
"2022",134,"NGDP_RPCH",2021-11-11,4.6
"2023",134,"NGDP_RPCH",2021-11-11,1.7
"2021",174,"NGDP_RPCH",2021-11-11,7.1
"2022",174,"NGDP_RPCH",2021-11-11,5.2
"2023",174,"NGDP_RPCH",2021-11-11,3.6
"2021",178,"NGDP_RPCH",2021-11-11,14.6
"2022",178,"NGDP_RPCH",2021-11-11,5.1
"2023",178,"NGDP_RPCH",2021-11-11,4.1
"2021",136,"NGDP_RPCH",2021-11-11,6.2
"2022",136,"NGDP_RPCH",2021-11-11,4.3
"2023",136,"NGDP_RPCH",2021-11-11,2.3
"2021",941,"NGDP_RPCH",2021-11-11,4.7
"2022",941,"NGDP_RPCH",2021-11-11,5
"2023",941,"NGDP_RPCH",2021-11-11,4
"2021",946,"NGDP_RPCH",2021-11-11,5
"2022",946,"NGDP_RPCH",2021-11-11,3.6
"2023",946,"NGDP_RPCH",2021-11-11,3.4
"2021",137,"NGDP_RPCH",2021-11-11,5.8
"2022",137,"NGDP_RPCH",2021-11-11,3.7
"2023",137,"NGDP_RPCH",2021-11-11,2.7
"2021",181,"NGDP_RPCH",2021-11-11,5
"2022",181,"NGDP_RPCH",2021-11-11,6.2
"2023",181,"NGDP_RPCH",2021-11-11,4.8
"2021",138,"NGDP_RPCH",2021-11-11,4
"2022",138,"NGDP_RPCH",2021-11-11,3.3
"2023",138,"NGDP_RPCH",2021-11-11,1.6
"2021",182,"NGDP_RPCH",2021-11-11,4.5
"2022",182,"NGDP_RPCH",2021-11-11,5.3
"2023",182,"NGDP_RPCH",2021-11-11,2.4
"2021",936,"NGDP_RPCH",2021-11-11,3.8
"2022",936,"NGDP_RPCH",2021-11-11,5.3
"2023",936,"NGDP_RPCH",2021-11-11,4.3
"2021",961,"NGDP_RPCH",2021-11-11,6.4
"2022",961,"NGDP_RPCH",2021-11-11,4.2
"2023",961,"NGDP_RPCH",2021-11-11,3.5
"2021",184,"NGDP_RPCH",2021-11-11,4.6
"2022",184,"NGDP_RPCH",2021-11-11,5.5
"2023",184,"NGDP_RPCH",2021-11-11,4.4
"2021",163,"NGDP_RPCH",2021-11-11,5
"2022",163,"NGDP_RPCH",2021-11-11,4.3
"2023",163,"NGDP_RPCH",2021-11-11,2.4
"2021",918,"NGDP_RPCH",2021-11-11,3.8
"2022",918,"NGDP_RPCH",2021-11-11,4.1
"2023",918,"NGDP_RPCH",2021-11-11,3.5
"2021",960,"NGDP_RPCH",2021-11-11,8.1
"2022",960,"NGDP_RPCH",2021-11-11,5.6
"2023",960,"NGDP_RPCH",2021-11-11,3.4
"2021",935,"NGDP_RPCH",2021-11-11,3
"2022",935,"NGDP_RPCH",2021-11-11,4.4
"2023",935,"NGDP_RPCH",2021-11-11,3.2
"2021",128,"NGDP_RPCH",2021-11-11,4.3
"2022",128,"NGDP_RPCH",2021-11-11,2.7
"2023",128,"NGDP_RPCH",2021-11-11,2.4
"2021",944,"NGDP_RPCH",2021-11-11,7.4
"2022",944,"NGDP_RPCH",2021-11-11,5.4
"2023",944,"NGDP_RPCH",2021-11-11,3.2
"2021",964,"NGDP_RPCH",2021-11-11,4.9
"2022",964,"NGDP_RPCH",2021-11-11,5.2
"2023",964,"NGDP_RPCH",2021-11-11,4.4
"2021",968,"NGDP_RPCH",2021-11-11,7
"2022",968,"NGDP_RPCH",2021-11-11,5.1
"2023",968,"NGDP_RPCH",2021-11-11,5.2
"2021",144,"NGDP_RPCH",2021-11-11,3.9
"2022",144,"NGDP_RPCH",2021-11-11,3.5
"2023",144,"NGDP_RPCH",2021-11-11,1.7
"2021",998,"NGDP_RPCH",2021-11-11,5
"2022",998,"NGDP_RPCH",2021-11-11,4.3
"2023",998,"NGDP_RPCH",2021-11-11,2.5
"2021",122,"PCPIPCH",2021-11-11,2.7
"2022",122,"PCPIPCH",2021-11-11,2.5
"2023",122,"PCPIPCH",2021-11-11,2
"2021",124,"PCPIPCH",2021-11-11,2.7
"2022",124,"PCPIPCH",2021-11-11,2.3
"2023",124,"PCPIPCH",2021-11-11,1.6
"2021",423,"PCPIPCH",2021-11-11,1.9
"2022",423,"PCPIPCH",2021-11-11,1.7
"2023",423,"PCPIPCH",2021-11-11,1.2
"2021",939,"PCPIPCH",2021-11-11,4
"2022",939,"PCPIPCH",2021-11-11,3.9
"2023",939,"PCPIPCH",2021-11-11,2.1
"2021",172,"PCPIPCH",2021-11-11,1.8
"2022",172,"PCPIPCH",2021-11-11,1.9
"2023",172,"PCPIPCH",2021-11-11,1.9
"2021",132,"PCPIPCH",2021-11-11,1.9
"2022",132,"PCPIPCH",2021-11-11,2.1
"2023",132,"PCPIPCH",2021-11-11,1.4
"2021",134,"PCPIPCH",2021-11-11,3.1
"2022",134,"PCPIPCH",2021-11-11,2.2
"2023",134,"PCPIPCH",2021-11-11,1.7
"2021",174,"PCPIPCH",2021-11-11,0.1
"2022",174,"PCPIPCH",2021-11-11,1
"2023",174,"PCPIPCH",2021-11-11,0.4
"2021",178,"PCPIPCH",2021-11-11,2.3
"2022",178,"PCPIPCH",2021-11-11,3.1
"2023",178,"PCPIPCH",2021-11-11,1.5
"2021",136,"PCPIPCH",2021-11-11,1.8
"2022",136,"PCPIPCH",2021-11-11,2.1
"2023",136,"PCPIPCH",2021-11-11,1.4
"2021",941,"PCPIPCH",2021-11-11,3.1
"2022",941,"PCPIPCH",2021-11-11,3.6
"2023",941,"PCPIPCH",2021-11-11,0.8
"2021",946,"PCPIPCH",2021-11-11,3.8
"2022",946,"PCPIPCH",2021-11-11,3.1
"2023",946,"PCPIPCH",2021-11-11,2
"2021",137,"PCPIPCH",2021-11-11,3.2
"2022",137,"PCPIPCH",2021-11-11,2.2
"2023",137,"PCPIPCH",2021-11-11,1.8
"2021",181,"PCPIPCH",2021-11-11,1.1
"2022",181,"PCPIPCH",2021-11-11,1.6
"2023",181,"PCPIPCH",2021-11-11,1.5
"2021",138,"PCPIPCH",2021-11-11,2.1
"2022",138,"PCPIPCH",2021-11-11,2.2
"2023",138,"PCPIPCH",2021-11-11,1.5
"2021",182,"PCPIPCH",2021-11-11,0.8
"2022",182,"PCPIPCH",2021-11-11,1.7
"2023",182,"PCPIPCH",2021-11-11,1.2
"2021",936,"PCPIPCH",2021-11-11,2.8
"2022",936,"PCPIPCH",2021-11-11,4.3
"2023",936,"PCPIPCH",2021-11-11,2.2
"2021",961,"PCPIPCH",2021-11-11,1.7
"2022",961,"PCPIPCH",2021-11-11,2.1
"2023",961,"PCPIPCH",2021-11-11,1.7
"2021",184,"PCPIPCH",2021-11-11,2.8
"2022",184,"PCPIPCH",2021-11-11,2.1
"2023",184,"PCPIPCH",2021-11-11,0.7
"2021",163,"PCPIPCH",2021-11-11,2.4
"2022",163,"PCPIPCH",2021-11-11,2.2
"2023",163,"PCPIPCH",2021-11-11,1.4
"2021",918,"PCPIPCH",2021-11-11,2.4
"2022",918,"PCPIPCH",2021-11-11,2.9
"2023",918,"PCPIPCH",2021-11-11,1.8
"2021",960,"PCPIPCH",2021-11-11,2.2
"2022",960,"PCPIPCH",2021-11-11,2
"2023",960,"PCPIPCH",2021-11-11,1.5
"2021",935,"PCPIPCH",2021-11-11,3.3
"2022",935,"PCPIPCH",2021-11-11,3.4
"2023",935,"PCPIPCH",2021-11-11,2.3
"2021",128,"PCPIPCH",2021-11-11,1.7
"2022",128,"PCPIPCH",2021-11-11,1.9
"2023",128,"PCPIPCH",2021-11-11,1.6
"2021",944,"PCPIPCH",2021-11-11,5.1
"2022",944,"PCPIPCH",2021-11-11,4.8
"2023",944,"PCPIPCH",2021-11-11,3.4
"2021",964,"PCPIPCH",2021-11-11,5
"2022",964,"PCPIPCH",2021-11-11,5.2
"2023",964,"PCPIPCH",2021-11-11,2.6
"2021",968,"PCPIPCH",2021-11-11,4
"2022",968,"PCPIPCH",2021-11-11,4
"2023",968,"PCPIPCH",2021-11-11,2.8
"2021",144,"PCPIPCH",2021-11-11,2.4
"2022",144,"PCPIPCH",2021-11-11,1.9
"2023",144,"PCPIPCH",2021-11-11,1.1
"2021",998,"PCPIPCH",2021-11-11,2.6
"2022",998,"PCPIPCH",2021-11-11,2.5
"2023",998,"PCPIPCH",2021-11-11,1.6
"2022",122,"NGDP_RPCH",2022-02-10,4.3
"2023",122,"NGDP_RPCH",2022-02-10,2.3
"2022",124,"NGDP_RPCH",2022-02-10,2.7
"2023",124,"NGDP_RPCH",2022-02-10,2.2
"2022",423,"NGDP_RPCH",2022-02-10,4.1
"2023",423,"NGDP_RPCH",2022-02-10,3.5
"2022",939,"NGDP_RPCH",2022-02-10,3.1
"2023",939,"NGDP_RPCH",2022-02-10,4
"2022",172,"NGDP_RPCH",2022-02-10,3
"2023",172,"NGDP_RPCH",2022-02-10,2
"2022",132,"NGDP_RPCH",2022-02-10,3.6
"2023",132,"NGDP_RPCH",2022-02-10,2.1
"2022",134,"NGDP_RPCH",2022-02-10,3.6
"2023",134,"NGDP_RPCH",2022-02-10,2.6
"2022",174,"NGDP_RPCH",2022-02-10,4.9
"2023",174,"NGDP_RPCH",2022-02-10,3.5
"2022",178,"NGDP_RPCH",2022-02-10,5.5
"2023",178,"NGDP_RPCH",2022-02-10,4.5
"2022",136,"NGDP_RPCH",2022-02-10,4.1
"2023",136,"NGDP_RPCH",2022-02-10,2.3
"2022",941,"NGDP_RPCH",2022-02-10,4.4
"2023",941,"NGDP_RPCH",2022-02-10,3.8
"2022",946,"NGDP_RPCH",2022-02-10,3.4
"2023",946,"NGDP_RPCH",2022-02-10,3.4
"2022",137,"NGDP_RPCH",2022-02-10,3.9
"2023",137,"NGDP_RPCH",2022-02-10,2.9
"2022",181,"NGDP_RPCH",2022-02-10,6
"2023",181,"NGDP_RPCH",2022-02-10,5
"2022",138,"NGDP_RPCH",2022-02-10,3
"2023",138,"NGDP_RPCH",2022-02-10,2.7
"2022",182,"NGDP_RPCH",2022-02-10,5.5
"2023",182,"NGDP_RPCH",2022-02-10,2.6
"2022",936,"NGDP_RPCH",2022-02-10,5
"2023",936,"NGDP_RPCH",2022-02-10,5.1
"2022",961,"NGDP_RPCH",2022-02-10,3.8
"2023",961,"NGDP_RPCH",2022-02-10,3.6
"2022",184,"NGDP_RPCH",2022-02-10,5.6
"2023",184,"NGDP_RPCH",2022-02-10,4.4
"2022",163,"NGDP_RPCH",2022-02-10,4
"2023",163,"NGDP_RPCH",2022-02-10,2.7
"2022",918,"NGDP_RPCH",2022-02-10,3.7
"2023",918,"NGDP_RPCH",2022-02-10,3.9
"2022",960,"NGDP_RPCH",2022-02-10,4.8
"2023",960,"NGDP_RPCH",2022-02-10,3
"2022",935,"NGDP_RPCH",2022-02-10,4.4
"2023",935,"NGDP_RPCH",2022-02-10,3.9
"2022",128,"NGDP_RPCH",2022-02-10,2.8
"2023",128,"NGDP_RPCH",2022-02-10,2.3
"2022",944,"NGDP_RPCH",2022-02-10,5
"2023",944,"NGDP_RPCH",2022-02-10,3.2
"2022",964,"NGDP_RPCH",2022-02-10,5.5
"2023",964,"NGDP_RPCH",2022-02-10,4.2
"2022",968,"NGDP_RPCH",2022-02-10,4.2
"2023",968,"NGDP_RPCH",2022-02-10,4.5
"2022",144,"NGDP_RPCH",2022-02-10,3.8
"2023",144,"NGDP_RPCH",2022-02-10,2
"2022",998,"NGDP_RPCH",2022-02-10,4
"2023",998,"NGDP_RPCH",2022-02-10,2.8
"2022",122,"PCPIPCH",2022-02-10,3.3
"2023",122,"PCPIPCH",2022-02-10,2.2
"2022",124,"PCPIPCH",2022-02-10,4.3
"2023",124,"PCPIPCH",2022-02-10,1.3
"2022",423,"PCPIPCH",2022-02-10,2.6
"2023",423,"PCPIPCH",2022-02-10,1.2
"2022",939,"PCPIPCH",2022-02-10,6.1
"2023",939,"PCPIPCH",2022-02-10,2.1
"2022",172,"PCPIPCH",2022-02-10,2.6
"2023",172,"PCPIPCH",2022-02-10,1.9
"2022",132,"PCPIPCH",2022-02-10,2.8
"2023",132,"PCPIPCH",2022-02-10,1.7
"2022",134,"PCPIPCH",2022-02-10,3.7
"2023",134,"PCPIPCH",2022-02-10,2.1
"2022",174,"PCPIPCH",2022-02-10,3.1
"2023",174,"PCPIPCH",2022-02-10,1.1
"2022",178,"PCPIPCH",2022-02-10,4.6
"2023",178,"PCPIPCH",2022-02-10,2.5
"2022",136,"PCPIPCH",2022-02-10,3.8
"2023",136,"PCPIPCH",2022-02-10,1.6
"2022",941,"PCPIPCH",2022-02-10,5.9
"2023",941,"PCPIPCH",2022-02-10,0.9
"2022",946,"PCPIPCH",2022-02-10,6.7
"2023",946,"PCPIPCH",2022-02-10,2.2
"2022",137,"PCPIPCH",2022-02-10,3.8
"2023",137,"PCPIPCH",2022-02-10,1.5
"2022",181,"PCPIPCH",2022-02-10,2.1
"2023",181,"PCPIPCH",2022-02-10,1.9
"2022",138,"PCPIPCH",2022-02-10,4
