"Category","2021","2022","2023"
"Austria",6.2,5,4.8
"Belgium",6.3,5.8,5.6
"Cyprus",7.5,7.8,7.3
"Estonia",6.2,6.8,6.9
"Finland",7.7,7.2,6.9
"France",7.9,7.6,7.6
"Germany",3.6,3.3,3.2
"Greece",14.7,13.7,13.1
"Ireland",6.2,4.6,5
"Italy",9.5,9.5,8.9
"Latvia",7.6,7.3,7.1
"Lithuania",7.1,7.2,7.2
"Luxembourg",5.3,5.2,5.1
"Malta",3.5,3.6,3.6
"Netherlands",4.2,4,4.2
"Portugal",6.6,5.7,5.5
"Slovakia",6.8,6.7,6.3
"Slovenia",4.8,4.8,4.6
"Spain",14.8,13.4,13
"EA",7.7,7.3,7
"Bulgaria",5.3,5.4,5.3
"Croatia",7.6,6.3,6
"Czechia",2.8,2.6,2.6
"Denmark",5.1,4.8,4.7
"Hungary",4.1,3.8,4
"Poland",3.4,4.1,3.9
"Romania",5.6,5.5,5.3
"Sweden",8.8,7.8,7
"EU",7,6.7,6.5