"Category","2022","2023","2024"
"Austria",4.8,0.5,1.4
"Belgium",3.1,0.8,1.6
"Croatia",6.3,1.2,1.9
"Cyprus",5.8,1.6,2.1
"Estonia",-0.3,0.1,2.8
"Finland",2,0.2,1.4
"France",2.6,0.6,1.4
"Germany",1.8,0.2,1.3
"Greece",5.5,1.2,2.2
"Ireland",12.2,4.9,4.1
"Italy",3.9,0.8,1
"Latvia",1.8,0.1,2.7
"Lithuania",1.9,0.3,2.5
"Luxembourg",2,1.7,2.4
"Malta",6.6,3.1,3.7
"Netherlands",4.4,0.9,1.3
"Portugal",6.7,1,1.8
"Slovakia",1.7,1.5,2
"Slovenia",5.1,1,2
"Spain",5.5,1.4,2
"EA",3.5,0.9,1.5
"Bulgaria",3.9,1.4,2.5
"Czechia",2.5,0.1,1.9
"Denmark",3.1,0.1,1.6
"Hungary",4.9,0.6,2.6
"Poland",4.9,0.4,2.5
"Romania",4.5,2.5,3
"Sweden",2.4,-0.8,1.2
"EU",3.5,0.8,1.6